nivel;classe;padrao;vb;gdac;gdac_80;gdac_100;auxilio_alimentacao;ativo_80;ativo_100;gdac_50;aposentado_50;vigencia
AUXILIAR;ESPECIAL;III;1536.79;12.28;982.4;1228.0;1175.0;3694.19;3939.79;614.0;2150.79;01/01/2025
AUXILIAR;ESPECIAL;II;1535.33;12.2;976.0;1220.0;1175.0;3686.33;3930.33;610.0;2145.33;01/01/2025
AUXILIAR;ESPECIAL;I;1533.88;12.14;971.2;1214.0;1175.0;3680.08;3922.88;607.0;2140.88;01/01/2025
AUXILIAR;CLASSE;PADRÃO;;;;;;;;;;01/01/2025
AUXILIAR;ESPECIAL;III;1536.79;12.28;982.4;1228.0;1175.0;3694.19;3939.79;614.0;2150.79;01/01/2025
AUXILIAR;ESPECIAL;II;1535.33;12.2;976.0;1220.0;1175.0;3686.33;3930.33;610.0;2145.33;01/01/2025
AUXILIAR;ESPECIAL;I;1533.88;12.14;971.2;1214.0;1175.0;3680.08;3922.88;607.0;2140.88;01/01/2025
AUXILIAR;ESPECIAL;III;1613.63;12.9;1032.0;1290.0;1175.0;3820.63;4078.63;645.0;2258.63;01/04/2026
AUXILIAR;ESPECIAL;II;1612.1;12.81;1024.8;1281.0;1175.0;3811.8999999999996;4068.1;640.5;2252.6;01/04/2026
AUXILIAR;ESPECIAL;I;1610.57;12.75;1020.0;1275.0;1175.0;3805.5699999999997;4060.5699999999997;637.5;2248.0699999999997;01/04/2026
AUXILIAR;CLASSE;PADRÃO;;;;;;;;;;01/04/2026
AUXILIAR;ESPECIAL;III;1814.37;12.9;1032.0;1290.0;1175.0;4021.37;4279.37;645.0;2459.37;01/04/2026
AUXILIAR;ESPECIAL;II;1612.1;12.81;1024.8;1281.0;1175.0;3811.8999999999996;4068.1;640.5;2252.6;01/04/2026
AUXILIAR;ESPECIAL;I;1610.57;12.75;1020.0;1275.0;1175.0;3805.5699999999997;4060.5699999999997;637.5;2248.0699999999997;01/04/2026
