nivel;classe;padrao;vb;gdac;gdac_80;gdac_100;auxilio_alimentacao;ativo_80;ativo_100;gdac_50;aposentado_50;vigencia
AUXILIAR;ESPECIAL;III;1536.79;12.28;982.4;1228;1175;3694.19;3939.79;614;2150.79;01/01/2025
AUXILIAR;ESPECIAL;II;1535.33;12.2;976;1220;1175;3686.33;3930.33;610;2145.33;01/01/2025
AUXILIAR;ESPECIAL;I;1533.88;12.14;971.2;1214;1175;3680.08;3922.88;607;2140.88;01/01/2025
AUXILIAR;CLASSE;PADRÃO;VB (A);GDAC;GDAC 80 pts. (B);GDAC 100 pts. (C);AUXÍLIO ALIMENT. (H);ATIVO 80 pts. (D=A+B);ATIVO 100 pts. (E=A+C);GDAC 50 pts. (F);APOSENTADO 50 pts. (G=A+F);01/01/2025
AUXILIAR;ESPECIAL;III;1536.79;12.28;982.4;1228;1175;3694.19;3939.79;614;2150.79;01/01/2025
AUXILIAR;ESPECIAL;II;1535.33;12.2;976;1220;1175;3686.33;3930.33;610;2145.33;01/01/2025
AUXILIAR;ESPECIAL;I;1533.88;12.14;971.2;1214;1175;3680.08;3922.88;607;2140.88;01/01/2025
AUXILIAR;ESPECIAL;III;1613.63;12.9;1032;1290;1175;3820.63;4078.63;645;2258.63;01/04/2026
AUXILIAR;ESPECIAL;II;1612.1;12.81;1024.8;1281;1175;3811.9;4068.1;640.5;2252.6;01/04/2026
AUXILIAR;ESPECIAL;I;1610.57;12.75;1020;1275;1175;3805.57;4060.57;637.5;2248.07;01/04/2026
AUXILIAR;CLASSE;PADRÃO;VB (A);GDAC;GDAC 80 pts. (B);GDAC 100 pts. (C);AUXÍLIO ALIMENT. (H);ATIVO 80 pts. (D=A+B);ATIVO 100 pts. (E=A+C);GDAC 50 pts. (F);APOSENTADO 50 pts. (G=A+F);01/04/2026
AUXILIAR;ESPECIAL;III;1814.37;12.9;1032;1290;1175;4021.37;4279.37;645;2459.37;01/04/2026
AUXILIAR;ESPECIAL;II;1612.1;12.81;1024.8;1281;1175;3811.9;4068.1;640.5;2252.6;01/04/2026
AUXILIAR;ESPECIAL;I;1610.57;12.75;1020;1275;1175;3805.57;4060.57;637.5;2248.07;01/04/2026
